"ID","Component","Axis","Priority","Why_It_Matters","Serves_RQs","Questions_To_Answer","Search_Terms","Current_Anchors","Target_Anchors","Output_Memo","Status"
"LC-01","Savings groups and community finance institutions","1-VSLA","P1","The origination layer itself. Everything downstream assumes these institutions are durable and that their behaviour is characterisable; the matrix supports the first claim better than the second.","RQ-01; RQ-04; RQ-08","How durable are savings groups over multiple cycles? What is the institutional taxonomy (VSLA, ROSCA, ASCA, SHG, cooperative) and how do the forms differ in governance and cash-flow behaviour? What are the documented failure modes?","village savings and loan association; savings group; ROSCA; ASCA; self-help group; accumulating savings and credit association; group durability; savings group dropout","LIT-001; LIT-002; LIT-014; LIT-023","10","MEMO-1 (extend)","Partially covered"
"LC-02","Group-lending mechanisms: information, sanction, repeat interaction","2-Microfinance","P1","This is the mechanism the whole thesis turns on. OQ-12 is partially answered and OQ-13 is fully open; both need this component deeper than four anchors.","RQ-01; RQ-04","Which channel actually drives repayment, and how were the channels separated empirically? What evidence exists on what happens when the funding source changes? Is there any prior work on group-level versus member-level lending?","joint liability; group lending; peer monitoring; peer screening; social collateral; dynamic incentives; individual liability conversion; SHG bank linkage; social capital microfinance","LIT-020; LIT-021; LIT-022; LIT-023","12","MEMO-4","Partially covered"
"LC-03","Index and parametric insurance: demand, basis risk, impact","5-Insurance","P1","FIRST PASS DONE 2026-08-22, and it compounds the LC-04 finding rather than softening it. Three things now stand on the record. (1) LIT-029, the authoritative review, states take-up has been DISAPPOINTINGLY LOW WITHOUT LARGE AND SUSTAINED SUBSIDIES - and our EXP-01 design does the opposite of subsidising, it adds the premium to the amount owed. (2) LIT-028 shows low demand may be RATIONAL rather than a behavioural failure: with basis risk, optimal demand for an index product is zero for the infinitely risk-averse and nonmonotonic in risk aversion, wealth and price. If that is right, compelling purchase overrides a correct decision instead of correcting a mistake. (3) LIT-030 measures basis risk directly and finds it, plus spatiotemporal adverse selection, materially drives demand - and the adverse-selection half is a warning for the pool's loss distribution, not just for take-up. Remaining: the empirical demand literature proper (Cole et al. on barriers to household risk management is the obvious next read), the impact side, and index-based livestock insurance outcomes.","RQ-02; RQ-07","What does the RCT evidence say about take-up and welfare effects of index insurance? How large is basis risk in practice and what reduces it? Why is demand persistently low at actuarially fair prices? What does the index-based livestock insurance record show?","index insurance; weather index insurance; parametric insurance; basis risk; index based livestock insurance; picture based insurance; insurance demand puzzle; agricultural insurance take-up","LIT-007; LIT-028; LIT-029; LIT-030","12","MEMO-5","Partially covered"
"LC-04","Bundled credit and insurance: theory and evidence","5-Insurance","P1","FIRST PASS DONE 2026-08-22, and it changed the proposal. This was the most important empty cell in the repo because the master proposal asserts the literature raises but rarely tests loan-insurance bundling. That assertion is FALSE. Bundling has been tested experimentally at least twice, and both times it suppressed demand: Gine and Yang 2009 in Malawi (LIT-024, compulsory rainfall cover priced into a seed loan, take-up 13 points lower off a 33.0% base) and Banerjee, Duflo and Hornbeck 2014 in India (LIT-025, mandatory health cover, 16 point / 23 percent rise in drop-out - and that one measures the lender's own book, which we had assumed nobody had done). Against them sits Karlan et al. 2014 in Ghana (LIT-026): risk, not capital, is the binding constraint and demand for index insurance offered SEPARATELY is strong. Carter, Cheng and Sarris 2016 (LIT-027) is the theory that asks standalone-versus-interlinked directly. The live question is therefore not whether bundling has been tried but whether compulsory, premium-financed bundling can be designed so it does not destroy demand - which is what EXP-17 tests. Remaining: read all four full texts, then extend toward the lender-side and risk-contingent-credit literature (Mishra on insured loans and credit access is the obvious next lead).","RQ-02","What is the theoretical case that insurance relieves a credit constraint? What field evidence exists on interlinked credit-insurance contracts? Has anyone measured the effect of bundling on lender-side portfolio performance rather than borrower welfare?","interlinked contracts credit insurance; bundled microinsurance; credit life insurance; contingent repayment; drought contingent loan; insurance credit complementarity; risk contingent credit","LIT-024; LIT-025; LIT-026; LIT-027","10","MEMO-5","Partially covered"
"LC-05","Resilience and consumption-smoothing outcome measurement","2-Microfinance","P1","Flagged as a gap in research-proposal.md. Memo 2 concludes the defensible claim is resilience and smoothing rather than income, which makes the measurement of resilience the load-bearing methodological choice.","RQ-02; RQ-07","How is household resilience operationalised and which indices are defensible? How are shocks timed and verified? What recall periods and survey instruments are standard? How is consumption smoothing distinguished from consumption level?","resilience measurement household; consumption smoothing measurement; coping strategies index; asset based resilience; food insecurity experience scale; shock module household survey","","8","MEMO-5","Not started"
"LC-06","Climate and adaptation finance: gap sizing and instruments","4-Blended finance","P1","Flagged as a gap. The opportunity-mapping methodology has a gap-magnitude axis with no evidence behind it, and a proposal that asserts a financing gap without an authoritative number is easy to dismiss.","RQ-07; RQ-05","What are the authoritative adaptation-finance and energy-access gap estimates and how are they constructed? Which instruments are actually deployed at household scale? What share of adaptation finance reaches households at all?","adaptation finance gap; UNEP adaptation gap report; climate finance flows; energy access financing gap; adaptation finance household level; locally led adaptation finance","","8","MEMO-6","Not started"
"LC-07","Credit-risk modelling in thin-data settings","3-Securitization","P1","RQ-03 is a whole strand and has no methodological anchors at all. The technical claim that these cash flows can be modelled needs the modelling literature behind it.","RQ-01; RQ-03; RQ-08","Which hazard and survival specifications are standard for small-ticket unsecured credit? How is loss-given-default estimated with few observed recoveries? What are the small-sample and short-panel corrections? How is model risk disclosed?","survival analysis credit default; hazard model loan default; loss given default estimation; probability of default low default portfolio; microfinance credit scoring; competing risks default prepayment","","10","MEMO-7","Not started"
"LC-08","Portfolio correlation and covariate risk in microfinance","3-Securitization","P1","Diversification is the whole argument for pooling. If defaults are covariate rather than idiosyncratic, the pooling thesis weakens sharply, and the repo currently has no evidence either way. CROSS-REFERENCE ADDED 2026-08-22: LIT-030 finds spatiotemporal adverse selection in index insurance - clients timing purchase on private seasonal information. Index products are usually presumed immune to it. If it holds in a pool we structure, the loss distribution is not what a naive actuarial model assumes, which is a correlation-structure problem and belongs here as well as in LC-03.","RQ-03; RQ-07; RQ-08","How correlated are microfinance defaults across groups, regions and time? What drives the covariate component? How did microfinance portfolios behave in crises and droughts? What correlation assumptions do rating agencies apply to EM consumer pools?","microfinance portfolio correlation; covariate risk microfinance; systemic risk microfinance crisis; default correlation emerging markets; microfinance crisis Andhra Pradesh Morocco Nicaragua; asset correlation retail portfolios","LIT-016; LIT-030","8","MEMO-7","Not started"
"LC-09","Securitisation eligibility, data tapes and rating criteria","3-Securitization","P1","OQ-3 and RQ-06 both need the target specification: what a data tape must contain before anyone will price it. The matrix has the deal-level view but not the field-level requirement.","RQ-01; RQ-03; RQ-05; RQ-06","What loan-level fields do standard reporting templates require? What eligibility criteria are typical for EM consumer and microfinance ABS? What do rating methodologies require of originator track record and servicing? Will an agency engage pre-track-record?","ABS loan level data template; European DataWarehouse; securitisation eligibility criteria; rating methodology consumer ABS; originator servicer review; data tape structured finance","LIT-004; LIT-006; LIT-011","10","MEMO-7","Partially covered"
"LC-10","Securitisation law, true sale and SPV domicile","3-Securitization","P2","OQ-1 is blocked on counsel, not literature, but the thesis still needs the doctrinal frame written up rather than a checklist.","RQ-05; RQ-06","What makes an assignment a true sale across candidate jurisdictions? How is insolvency remoteness achieved where local trust law is thin? What changed with the EU Securitisation Regulation and Basel III/IV since LIT-009?","true sale securitisation; insolvency remote SPV; assignment of receivables law; EU Securitisation Regulation; securitisation law Africa; STS securitisation","LIT-009; LIT-010","8","MEMO-8","Partially covered"
"LC-11","African and emerging-market capital-market depth","3-Securitization","P2","OQ-2's pool-size answer depends on who could actually buy the paper, in what currency, under what mandate.","RQ-03; RQ-05","Which African markets have functioning securitisation frameworks and completed deals? Who are the domestic institutional buyers? How is currency risk handled in local-currency structures? What did the deals that closed have in common?","African securitisation market; local currency bond market Africa; pension fund allocation Africa; domestic institutional investors frontier markets; currency hedging development finance","LIT-008; LIT-011; LIT-012","8","MEMO-8","Partially covered"
"LC-12","Blended finance, first-loss and guarantees","4-Blended finance","P2","Well covered for structuring mechanics; thin on whether mobilisation claims survive scrutiny, which is exactly what RQ-05 asks.","RQ-05; RQ-03","What counterfactual evidence exists that concessional capital mobilises rather than substitutes? How are mobilisation ratios computed and how contested are they? What does the additionality critique say?","blended finance mobilisation; catalytic first loss capital; private capital mobilisation additionality; guarantee mobilisation development; concessionality measurement; crowding out development finance","LIT-005; LIT-012; LIT-013; LIT-015; LIT-017; LIT-018; LIT-019","6","MEMO-8","Partially covered"
"LC-13","Microcredit impact evidence and the meta-analytic record","2-Microfinance","P2","The canonical evidence base a development-economics examiner will expect the candidate to know cold. Currently one anchor for an entire literature.","RQ-02","What do the seven coordinated microcredit RCTs find and how does the Bayesian hierarchical re-analysis change the reading? Where is treatment-effect heterogeneity real rather than noise? What are the standard critiques of the RCT canon?","microcredit randomized evaluations; miracle of microfinance; Bayesian hierarchical microcredit; Meager microcredit; microfinance systematic review; heterogeneous treatment effects microcredit","LIT-003","10","MEMO-4","Partially covered"
"LC-14","Digital financial rails and origination data capture","6-Data and technology","P2","RQ-06 asks what data capture costs. The answer depends on the rails available, which is a literature the repo has not touched at all.","RQ-06","What does the evidence say about digitising savings-group records? How do mobile money rails change transaction cost and data availability? What are the documented failure modes of MIS deployments in low-connectivity settings?","digital savings groups; mobile money savings group; e-recording VSLA; digital financial services evidence; MIS microfinance implementation; digitisation informal finance","","8","MEMO-9","Not started"
"LC-15","PAYGO and energy-access receivables finance","3-Securitization","P2","EXP-02 and EXP-08 depend on it and it is the closest existing analogue to what this project proposes: small-ticket receivables already being pooled.","RQ-03; RQ-06","How are PAYGO solar receivables financed and securitised today? What default and repossession behaviour is documented? What data standards has the sector converged on?","PAYGO solar receivables; off grid solar securitisation; pay as you go energy financing; solar home system default; GOGLA data standards","LIT-008","6","MEMO-9","Not started"
"LC-16","Agricultural value chains, warehouse receipts and price risk","5-Insurance","P2","EXP-04, EXP-09 and EXP-11 all sit here, and the coffee cluster cannot be assessed without it.","RQ-02; RQ-08","What is the evidence on warehouse receipt finance and post-harvest lending? How do price-stabilisation instruments perform for smallholders? How does value-chain finance interact with group structures?","warehouse receipt finance; inventory credit smallholder; value chain finance agriculture; price risk management smallholder; commodity price hedging cooperatives; post harvest loss lending","","8","MEMO-9","Not started"
"LC-17","Over-indebtedness, consumer protection and credit ethics","2-Microfinance","P2","The do-no-harm section of the framework needs an evidence base, and bundling a financed premium into a loan raises exactly the concern this literature documents.","RQ-02; RQ-05","What drives over-indebtedness in microcredit markets? What consumer-protection standards apply to bundled and financed insurance? What does the mis-selling record in microinsurance look like?","microfinance over-indebtedness; client protection principles; microinsurance mis-selling; consumer protection financial inclusion; multiple borrowing microfinance; responsible finance","","6","MEMO-4","Not started"
"LC-18","Financialisation of community institutions","1-VSLA","P2","The intellectual counterweight to the thesis. A proposal that does not engage the critique that external capital corrodes community institutions will be read as naive, and RQ-04 is built on taking it seriously.","RQ-01; RQ-04; RQ-05","What does the critical literature say about formalising informal finance? What is the record of external capital entering member-owned institutions? What happened to the SHG-Bank Linkage Programme and to microfinance commercialisation?","financialisation of development; mission drift microfinance; commercialisation microfinance; formalising informal finance; cooperative demutualisation; social capital erosion credit","LIT-023","8","MEMO-4","Partially covered"
"LC-19","Regulation of savings groups and microinsurance","1-VSLA","P2","Determines whether a product is legal before it is desirable, and sets the ceiling on what data can be demanded at origination.","RQ-05; RQ-06","How are savings groups regulated across candidate jurisdictions? What licensing does a microinsurance product require? Who may lawfully hold and share member data?","savings group regulation; proportionate regulation financial inclusion; microinsurance regulation IAIS; agent banking regulation; data protection law financial services Africa","LIT-014","6","MEMO-8","Partially covered"
"LC-20","Microfinance cost-to-serve and unit economics","2-Microfinance","P2","RT-6 runs on assumptions the repo labels stubborn. RQ-06 and RQ-20 need real operating-cost benchmarks.","RQ-05; RQ-06; RQ-03","What are benchmark operating expense ratios by institution type and loan size? How does cost-to-serve scale with portfolio size? What does group methodology cost per member relative to individual lending?","microfinance operating expense ratio; cost per borrower; efficiency microfinance institutions; MIX Market benchmarks; cost to serve rural finance; group lending transaction costs","LIT-016; LIT-017","6","MEMO-9","Partially covered"
"LC-21","Microsavings and household financial behaviour","2-Microfinance","P3","The savings side of the group is the part with the most robust evidence, and it is the mechanism behind the resilience effects the framework measures.","RQ-02","What is the causal evidence on savings access and household outcomes? What role do commitment devices and mental accounting play? How does saving interact with borrowing in the same group?","microsavings randomized; commitment savings; savings constraints poor; mental accounting savings; behavioural barriers saving","","6","MEMO-4","Not started"
"LC-22","Remittances and migrant financial arrangements","2-Microfinance","P3","Underpins EXP-07 and the Israel migrant-worker track (EXP-29).","RQ-08","How do remittance flows interact with household risk management? What products link remittances to savings or insurance? What is documented about migrant-worker financial arrangements in destination countries?","remittances risk sharing; remittance linked savings; migrant worker financial inclusion; diaspora finance; remittance cost corridor","","5","MEMO-9","Not started"
"LC-23","Gender, group composition and intra-household allocation","1-VSLA","P3","Savings groups are predominantly women's institutions; a design that ignores intra-household bargaining will mis-measure its own outcomes.","RQ-02; RQ-04","How does group composition affect performance? What is the evidence on women's economic empowerment through group finance? How does intra-household allocation mediate measured effects?","women's savings groups; gender microfinance empowerment; intra-household bargaining credit; group composition homogeneity; female borrower repayment","","6","MEMO-4","Not started"
"LC-24","Coffee-sector economics and cooperative finance","5-Insurance","P1","PROMOTED TO P1 2026-08-22, and the reason matters: not because coffee has been chosen, but because it has not. The coffee cluster (EXP-09, EXP-10, EXP-11) scores above every other field candidate - 3.90, 3.60, 3.60 - and those scores rest on two assumptions nobody has tested: that producer cooperative federations and value-chain lenders are actually reachable as partners, and that existing certification and traceability records could carry underwriting rather than just provenance claims. Reading this component is the cheap way to test both before committing a field programme to them. If the assumptions hold, the cluster is the leading field anchor under OQ-16; if they do not, the scores were wrong and the anchor is EXP-01 or EXP-06. Either way the read pays for itself, which is what makes it P1 rather than context.","RQ-02; RQ-08","How is smallholder coffee financed today and by whom? What climate exposures dominate (leaf rust, drought, temperature) and are they indexable? What traceability and certification data already exists and could it serve as an origination schema? What is the record of coffee price-risk instruments for smallholders?","coffee cooperative finance; smallholder coffee credit; coffee leaf rust climate; Root Capital agricultural lending; Fairtrade premium finance; coffee price risk smallholder; traceability certification data coffee","","8","MEMO-9","Not started"
"LC-25","Data governance, consent and privacy in field research","6-Data and technology","P3","CLAUDE.md section 8 and the ethics section of the framework both depend on it, and IRB approval will require it in writing.","RQ-06","What consent standards apply in low-literacy multilingual settings? How is participant data governed when a commercial partner co-holds it? What are the norms on data sharing and retention in development field research?","informed consent low literacy; research ethics development economics; data protection field research; participant data governance; IRB international field research","","5","MEMO-9","Not started"
"LC-26","Impact-evaluation method advances","2-Microfinance","P3","The framework makes design choices - clustering, stepped wedge, tail-powered outcomes, multiple hypotheses - that each have a methods literature a methods examiner will know.","RQ-02; RQ-08","How is power computed for cluster designs with realistic ICCs? What are the current standards on multiple-hypothesis correction and pre-analysis plans? How are spillovers handled? When is a stepped wedge identified?","cluster randomized trial power; intracluster correlation development; pre-analysis plan; multiple hypothesis testing experiments; stepped wedge design; spillover effects experiments; randomization inference","","8","MEMO-6","Not started"
