"Parameter","Worst","Likely","Best","Unit","Basis"
"gross_yield_pct","0.20","0.20","0.20","proportion/yr","SOURCED - MFI portfolio yield ~20% Africa / 19.2% global, MIX Global Benchmark 2017-18 (LIT-016). Held fixed across scenarios."
"originator_share_pct","0.35","0.25","0.20","share of gross yield","ASSUMED - the origination layer's retained servicing spread out of gross yield; informed by MFI operating expense ratio 10.6% global / 14.5% Africa (LIT-016). Higher share = thinner spread to the structure."
"expected_loss_pct","0.08","0.05","0.04","proportion/yr","ASSUMED - net annual credit loss on the pool; informed by global PAR30 6.0% (LIT-016). Point estimate here; RT-5 owns the loss distribution."
"cost_to_serve_pct","0.008","0.005","0.004","proportion/yr","ASSUMED - our structuring-layer servicing/monitoring cost (RT-3), asset-light. Distinct from the origination layer's own cost."
"structuring_fee_pct","0.01125","0.015","0.02","proportion upfront","ASSUMED - upfront structuring fee; benchmarked to MIV management fees (Fixed-Income funds 1.2%, all-MIV TER 2.4%, Symbiotics 2019, LIT-017). Worst = 25% fee compression on the likely value."
"servicing_fee_pct","0.0075","0.01","0.0125","proportion/yr","ASSUMED - ongoing fee on assets under management; benchmarked to MIV TER 2.4% (LIT-017)."
"retained_interest_pct","0.05","0.05","0.05","proportion of notional","SOURCED - EU/UK risk-retention minimum economic interest of 5% (Memo 3). Held fixed."
"fixed_structuring_cost_usd","400000","250000","150000","USD/deal","ASSUMED - one-off legal, SPV, rating and listing cost per deal. Open-access benchmark NOT FOUND (research driver 5); this is a we-assume, not a the-literature-says. Consistent with RT-5 fixed_costs_usd of 250000."
"weighted_life_years","1.5","1.5","1.5","years","ASSUMED - weighted average life of the structure / investor exposure. Short-tenor loans revolve inside a longer-lived warehouse."
"senior_pct","0.70","0.70","0.70","proportion","ASSUMED structure. Held fixed; the junior band is the sourced number."
"mezz_pct","0.15","0.15","0.15","proportion","ASSUMED structure. Held fixed."
"junior_pct","0.15","0.15","0.15","proportion","SOURCED - first-loss/junior tranche 10-20% of structure (LIT-013, LIT-015). Held fixed at the midpoint."
"senior_coupon_pct","0.07","0.07","0.07","proportion/yr","SOURCED - near the MIV wholesale yield of 7.6% (Symbiotics 2019, LIT-017), the rate senior capital lent into this market earns. Held fixed."
"mezz_coupon_pct","0.12","0.12","0.12","proportion/yr","ASSUMED - mezzanine coupon. Held fixed."
"junior_hurdle_pct","0.10","0.10","0.10","proportion/yr","ASSUMED - the return the junior/first-loss layer requires. A blended/concessional expectation; a commercial junior would demand more. Held fixed as the constraint bar."
"dfi_mobilization_ratio","1.8","1.8","1.8","private $ per DFI $","SOURCED - Convergence: USD 1 concessional mobilises ~USD 1.8 private / USD 4.1 commercial (LIT-018); guarantees mobilise more than any other instrument (LIT-019). Context metric. Held fixed."
"avg_deal_notional","20000000","25000000","30000000","USD","ASSUMED - within the DFI-anchored warehouse band of tens of millions (LIT-011, LIT-012)."
"deals_per_year","3","4","5","count","ASSUMED - realistic annual origination ramp once at scale."
"annual_overhead_usd","2000000","1500000","1300000","USD/yr","ASSUMED - the structuring company's own annual opex (team, systems, legal)."
"ramp_horizon_years","7","7","7","years","Number of years the venture ramp is simulated over. Held fixed."
"gate_horizon_years","3","3","3","years","GATE (OQ-10 go/no-go, set 2026-08-02): the deadline by which the structuring layer must credibly cover its own costs at reachable scale. Held fixed."
"kpi_operating_margin_target","0.30","0.30","0.30","proportion","KPI 1 (tracked, not the gate): steady-state operating margin target. Held fixed."
"kpi_rocar_target","0.15","0.15","0.15","proportion","KPI 2 (tracked, not the gate): return on capital-at-risk target. Held fixed."
