"ID","Funder_Name","Type","Geography","Grant_Focus","URL","Why_This_Funder","Status"
"FUND-01","IDRC (International Development Research Centre)","Research funder (bilateral)","Global South (incl. Africa / MENA)","Development research, climate adaptation, inclusive economies","","Funds Southern-led development research including climate adaptation and financial inclusion; a natural home for the experiment-design and impact-measurement workstream. Programs and open calls to be researched.","Not researched"
"FUND-02","3ie (International Initiative for Impact Evaluation)","Impact-evaluation funder","Global South","Rigorous impact evaluations (RCTs and quasi-experimental)","","Funds and supports impact evaluations directly aligned with the causal-measurement methodology; potential match for the experiment-design deliverable. Verify current thematic windows.","Not researched"
"FUND-03","J-PAL King Climate Action Initiative (K-CAI)","Research funder / lab initiative","Global (Africa + MENA offices)","RCTs at the climate-poverty intersection","","Funds randomized evaluations at exactly the climate-and-poverty intersection this proposal targets; J-PAL is also the standing verification-partner candidate (PT-05). Confirm eligibility and cycle.","Not researched"
"FUND-04","FSD Africa","Financial-sector development funder","Africa","Financial markets, green finance, capital-market development","","Backs financial-market and green-finance development in Africa, including securitization and capital-market deepening; relevant to both the research and the structuring thesis. Research active facilities.","Not researched"
"FUND-05","Mastercard Foundation","Foundation","Africa","Livelihoods, financial inclusion, youth and women's economic opportunity","","Large Africa-focused funder of financial inclusion and livelihoods; potential support for pilot origination and inclusion outcomes. Confirm research vs programme funding fit.","Not researched"
"FUND-06","IKEA Foundation","Foundation","Global South (incl. Africa)","Climate action and poverty-reduction livelihoods","","Funds the climate-plus-livelihoods intersection, including renewable energy and smallholder agriculture; possible fit for energy-access and climate-resilience experiments. Research grant mechanism.","Not researched"
"FUND-07","Shell Foundation","Corporate foundation","Africa / Asia","Energy access enterprises, climate-resilient livelihoods","","Backs early-stage energy-access enterprises and models; relevant to the clean-energy financing experiments (EXP-02, EXP-08). Confirm whether it funds research or only ventures.","Not researched"
"FUND-08","Green Climate Fund (GCF)","Multilateral climate fund","Developing countries","Climate adaptation and mitigation, incl. private-sector facility","","Largest dedicated climate fund; more project- than research-oriented, but its readiness and private-sector windows may support blended-structure design. Requires an accredited entity - research the access route.","Not researched"
"FUND-09","Rockefeller Foundation","Foundation","Global","Innovative finance, climate and poverty","","History of funding innovative and blended finance at the climate-poverty intersection; potential design/convening support. Research current initiatives and entry point.","Not researched"
"FUND-10","AFD / Proparco","DFI (bilateral)","Africa / MENA","Development research, blended finance, climate","","French DFI group active across Africa and MENA with both research and blended-finance windows; relevant to structuring as well as study funding. Identify the research vs investment desk.","Not researched"
"FUND-11","International Growth Centre (IGC)","Research funder / policy research network","Africa and South Asia (country offices)","Policy-relevant applied research with local partners; growth, firms, finance","https://www.theigc.org/","The most solo-compatible research funder in the pipeline: small, fast-turnaround grants run through country offices, aimed at policy-relevant work done with local partners, and not requiring the applicant to be a tenured principal investigator the way a large trial grant does. Route for the OQ-21 Form 2 collaboration - an embedded evaluation alongside a live facility with an academic partner as PI. Tracked as a partner at PT-22. Calls, deadlines and typical grant size still to be researched.","Not researched"
"FUND-12","Global Innovation Fund","Innovation fund (grants and risk capital)","Global South","Staged funding for innovations with evidence of impact, from pilot to scale","https://www.globalinnovation.fund/","Funds innovations in stages against evidence, which fits a practice whose first deliverables are a field-tested origination standard and a costed cost curve rather than a product with users. Relevant to the solo track because it funds the evidence-building stage directly instead of requiring a scaled operation first. Calls, instruments and eligibility still to be researched - in particular whether an advisory practice rather than an implementer is eligible.","Not researched"
