"ID","Indicator","Category","Why_It_Matters_Here","Product_Lines","Source","URL","Cadence"
"MAC-01","US federal funds target rate","Cost of capital","Sets the global risk-free anchor. Every senior tranche we ever price is quoted as a spread over something that moves with this. Rising rates raise the return a private investor demands and make the concessional layer work harder for the same mobilisation.","PL-1; PL-2","FRED (St Louis Fed)","https://fred.stlouisfed.org/series/DFEDTARU","Per meeting"
"MAC-02","ECB key interest rates","Cost of capital","Relevant if senior notes are placed with EU investors - which also triggers the risk-retention and qualified-investor rules in LIT-010.","PL-1; PL-2","European Central Bank","https://www.ecb.europa.eu/stats/policy_and_exchange_rates/key_ecb_interest_rates/html/index.en.html","Per meeting"
"MAC-03","Bank of Israel policy rate","Cost of capital","Local funding cost for the Israel pilot site and the discount rate on any shekel-denominated structure.","PL-1; PL-2","Bank of Israel","https://www.boi.org.il/en/","Per meeting"
"MAC-04","EM high-yield corporate spreads","Risk appetite","The cleanest available proxy for whether investors are currently paid to take emerging-market credit risk. When spreads blow out, an unproven asset class does not get placed at any price - it is a go/no-go signal for issuance timing, not a pricing input.","PL-1; PL-2","FRED (ICE BofA EM HY index OAS)","https://fred.stlouisfed.org/series/BAMLEMHBHYCRPIOAS","Daily"
"MAC-05","Securitisation issuance volumes","Market depth","Whether the ABS market is open at all, and at what size. Directly informs the OQ-2 timing question - a technically viable pool still needs a functioning market to be placed into.","PL-1; PL-2","SIFMA (US) and AFME (Europe)","https://www.sifma.org/resources/research/","Monthly / quarterly"
"MAC-06","FAO Food Price Index","Borrower shock driver","The single most direct macro link to PL-1 repayment. Food price spikes hit exactly the households in our target cohort, and they hit a whole region at once - which is correlated default risk, the parameter RT-5 is most sensitive to.","PL-1","FAO","https://www.fao.org/worldfoodsituation/foodpricesindex/en/","Monthly"
"MAC-07","ENSO / El Nino-La Nina status","Borrower shock driver","Leading indicator for drought and flood in East and Southern Africa, months ahead of the harvest failure it causes. If parametric insurance triggers are ever built (PL-1), this is the class of signal they key off.","PL-1","NOAA Climate Prediction Center","https://www.cpc.ncep.noaa.gov/products/analysis_monitoring/enso_advisory/","Monthly"
"MAC-08","Food security early warning","Borrower shock driver","Sub-national famine and food-insecurity outlooks. More actionable than a global price index because it is geographic - it tells you which cohort is about to come under stress.","PL-1","FEWS NET","https://fews.net/","Monthly"
"MAC-09","Energy prices and electricity demand","Project economics","PL-2 revenue is PPA-contracted, so spot prices do not hit revenue directly - but they move the tariff environment, the political appetite for renewables procurement, and the utility's own credit standing, which is the concentrated counterparty risk in that line.","PL-2","US EIA (and IEA for global outlooks)","https://www.eia.gov/","Weekly / monthly"
"MAC-10","Remittance flows to LMICs","Household resilience","A major income source for exactly the migrant-worker communities in the Israel pilot. A remittance disruption is a group-level shock and a candidate parametric trigger - one that is not weather-driven, which matters because weather triggers carry basis risk (LIT-007).","PL-1","World Bank KNOMAD","https://www.knomad.org/","Semi-annual"
"MAC-11","ODA and development finance flows","Funding availability","Determines whether concessional first-loss capital exists to be asked for. The whole structure in Memo 3 assumes a junior tranche someone is willing to fund; aid budget contraction is an existential input, not a background variable.","PL-1; PL-2","OECD DAC","https://www.oecd.org/en/topics/official-development-assistance-oda.html","Annual"
"MAC-12","Inflation and FX in target markets","Currency risk","Local-currency receivables against any hard-currency tranche is an unhedged mismatch. This is listed as a live risk in the business plan and is the input to whether local-currency tranches or DFI FX guarantees are needed.","PL-1; PL-2","World Bank Open Data","https://data.worldbank.org/","Monthly / quarterly"
"MAC-13","USD/ILS representative exchange rate","Currency risk","The dominant pair for the Israel pilot. Any hard-currency tranche over shekel-denominated receivables is an unhedged mismatch, and this is the rate that mismatch is measured in. MAC-12 covers the euro leg, which only matters if notes are placed with EU investors.","PL-1; PL-2","Bank of Israel","https://www.boi.org.il/en/economic-roles/statistics/exchange-rates/","Daily"
"MAC-14","FAO Cereals Price Index","Borrower shock driver","The staple-grain sub-index of MAC-06. Worth tracking separately because it moves earlier and harder than the headline, and because staples are what the PL-1 cohort actually spends its marginal shekel or shilling on - a headline index diluted by meat and dairy understates the shock to a subsistence household.","PL-1","FAO","https://www.fao.org/worldfoodsituation/foodpricesindex/en/","Monthly"
"MAC-15","US 10-year Treasury yield","Cost of capital","The long-rate anchor. MAC-01 prices the short end, but a PL-2 PPA asset runs 15-25 years and is discounted off something much closer to the 10-year. The gap between the two is also the clearest single read on whether the curve is telling us long money is getting cheaper or dearer.","PL-2; PL-1","FRED (St Louis Fed)","https://fred.stlouisfed.org/series/DGS10","Daily"
"MAC-16","Brent crude oil price","Project economics","Sits behind two separate channels: the tariff and procurement environment for PL-2, and the fuel and fertiliser costs that feed into the food prices in MAC-06. One of the few places where the two product lines share a risk driver - which is worth knowing precisely because the diversification case for running both assumes they mostly do not.","PL-2; PL-1","FRED (St Louis Fed)","https://fred.stlouisfed.org/series/DCOILBRENTEU","Daily"
