"ID","Theme","Type","Geography","Population","Community_Context","Problem","SDG_Refs","Product_Concept","Design","Primary_Outcome","Toolbox_Fit","RQ_Refs","Candidate_Partners","Candidate_Funders","Research_Significance","PhD_Feasibility","Partner_Availability","Implementation_Ease","Grant_Exposure","Composite","Priority_Band","Linked_Refs","Status"
"EXP-01","Climate + Poverty","Field RCT","Sahel / East Africa","Rainfed smallholder farming households in savings groups","Rainfed smallholder farmers organised in VSLAs","Rainfall variability destroys harvests and repayment capacity, pushing families deeper into poverty; climate shocks go uninsured.","SDG 1; SDG 2; SDG 13","Parametric drought-index insurance bundled into VSLA crop loans, with the premium financed into the loan principal so cover is automatic rather than opt-in.","Cluster RCT: villages randomised to bundled cover versus loan-only, premium financed into principal","Consumption smoothing conditional on index-measured drought exposure; 90-day-past-due incidence","RT-1 schema captures agro-climate and geospatial tags; RT-3 monitor watches rainfall-index triggers; impact module measures consumption smoothing through shocks. ⚠️ EVIDENCE WARNING 2026-08-22: this design - premium financed into principal so cover is compulsory rather than opt-in - is precisely what was tested and failed in LIT-024 (Malawi, take-up 13 points lower) and LIT-025 (India, 16 point rise in drop-out). Do not carry it forward as written without answering why it would go differently here. See OQ-17.","RQ-02; RQ-09; RQ-10; RQ-26","VSL Associates / CARE VSLA network; J-PAL regional office; a local index-insurance underwriter","J-PAL King Climate Action Initiative; 3ie; IDRC","4","2","3","2","5","3.15","Reserve","PL-1; OQ-3; OQ-11; OQ-15; OQ-16; LIT-024; LIT-025; OQ-17","Idea"
"EXP-02","Climate + Poverty","Field quasi-experiment","East / West Africa (off-grid rural)","Off-grid rural households reached through savings groups","Off-grid rural households reached through VSLAs","Energy poverty and biomass-cooking emissions; households cannot finance solar home systems or clean cookstoves.","SDG 1; SDG 7; SDG 13","PAYGO-style clean-energy asset loan originated through the VSLA under a group guarantee, with repayment data standardised for later pooling.","Staggered rollout across group clusters with matched difference-in-differences; RCT where a distributor will randomise","Repayment completion rate on the asset loan; clean-energy adoption and biomass displaced","Underwriting engine uses group repayment signals; securitization modelling on the clean-energy receivables pool.","RQ-02; RQ-03","PAYGO solar distributors; VSLA networks; energy-access sector bodies","Shell Foundation; IKEA Foundation; FSD Africa","3","2","4","3","4","2.95","Reserve","PL-1; OQ-11; OQ-15","Idea"
"EXP-03","Climate + Poverty","Project pilot","North Africa / MENA (water-scarce)","Smallholder cooperative members on water-constrained plots","Smallholder cooperatives on water- and land-constrained plots","Climate stress on land and water; smallholders lack capital for climate-smart dual-use solar-plus-agriculture.","SDG 1; SDG 2; SDG 7; SDG 13","Cooperative project-finance vehicle blending PPA revenue and crop revenue, with a DFI first-loss layer to attract senior capital.","Single-vehicle demonstration with pre-post and matched comparison; not randomisable at realistic scale","PPA and crop revenue realisation against model; cost of senior capital achieved","Waterfall modelling and PPA cash-flow verification carried over from PL-2; schema extended to cooperative membership.","RQ-05","Agricultural cooperatives; a DFI blended-finance desk; a utility offtaker","Green Climate Fund; AFD / Proparco","3","1","2","1","3","2.05","Park","PL-2; OQ-8","Idea"
"EXP-04","Climate + Poverty","Field quasi-experiment","East Africa","Grain-farming households aggregated through savings groups","Grain-farming households aggregated through savings groups","Climate-driven price volatility and post-harvest loss force distress sales at the bottom of the market, entrenching poverty.","SDG 1; SDG 2; SDG 13","Warehouse-receipt-backed lending via VSLA aggregation, with cover against storage loss, letting farmers borrow against stored grain and sell when prices recover.","Phased rollout across warehouses with difference-in-differences on sale timing and price realised","Price realised per unit sold relative to harvest-time spot; distress-sale incidence","Standardised warehouse receipts become poolable receivables; monitoring tracks storage conditions and price triggers.","RQ-02; RQ-08","Warehouse operators; commodity exchanges; VSLA networks","IDRC; Mastercard Foundation","3","2","3","2","3","2.60","Park","PL-1","Idea"
"EXP-05","Climate + Poverty","Field RCT","Horn of Africa","Pastoralist households whose livestock is their main asset","Pastoralist communities whose livestock is their primary store of wealth","Drought kills livestock, the main asset of the poor, driving recurrent poverty traps.","SDG 1; SDG 13","Index-based livestock insurance bundled with savings-group credit, paying out on satellite-measured forage scarcity before animals die (building on the index-based livestock insurance precedent).","Cluster RCT on bundled index-based livestock cover, building on an established index protocol","Livestock mortality and distress sales through a drought season; herd retention","Index triggers, monitoring and impact-evaluation modules; schema captures herd and geospatial data.","RQ-02; RQ-26","Existing index-based livestock insurance programmes; pastoralist associations","J-PAL King Climate Action Initiative; IDRC","2","2","3","2","4","2.35","Park","PL-1","Idea"
"EXP-06","Climate + Poverty","Field RCT","Coastal West Africa / MENA","Urban and peri-urban low-income households in climate-exposed settlements","Urban and peri-urban poor in climate-exposed informal settlements","Recurrent climate shocks - flooding, but also drought/heat and storms - destroy the productive assets of low-income households, resetting them into poverty.","SDG 1; SDG 11; SDG 13","Multi-peril parametric climate cover (flood, drought/heat, storm) paired with a resilience-retrofit microloan, financed through community groups. Access to the cover is randomised, so the impact design stays clean even though the product spans several triggers.","Cluster RCT: settlements randomised to multi-peril cover plus retrofit loan versus loan-only","Productive-asset retention through a peril event; speed of recovery","Schema plus multi-peril parametric triggers; RT-3 monitor doubles as an early-warning signal. Shares a trigger to payout to loss-avoided measurement design with EXP-01.","RQ-02; RQ-07; RQ-24; RQ-26","Urban community-based organisations; municipal partners; a parametric underwriter","J-PAL King Climate Action Initiative; Rockefeller Foundation; Green Climate Fund","4","2","2","2","4","2.90","Reserve","PL-1; OQ-11; OQ-15; OQ-16; LIT-024; OQ-17","Idea"
"EXP-07","Climate + Poverty","Field quasi-experiment","MENA remittance corridors (Gulf to North / East Africa)","Remittance-receiving households in climate-vulnerable home regions","Remittance-dependent households in climate-vulnerable home regions","Households reliant on migrant remittances hold no formal savings or climate cover, so a shock abroad or at home cascades into poverty.","SDG 1; SDG 10; SDG 13","Remittance-linked savings-and-microinsurance product anchored to a home-side community group, converting part of each transfer into resilience cover.","Encouragement design on the sending side with matched comparison on the receiving side","Formal savings balance and cover in force at time of shock; consumption smoothing","Data schema extended to remittance inflows; underwriting on transfer regularity.","RQ-08","Remittance service providers; home-side community groups","IDRC; AFD / Proparco","3","2","2","2","3","2.45","Park","PL-1","Idea"
"EXP-08","Climate + Poverty","Field quasi-experiment","West Africa / MENA","Women-led micro-enterprises in the clean-energy value chain","Women-led micro-enterprises in the clean-energy value chain","Energy-access SMEs (solar distributors, clean-cooking retailers) lack working capital, throttling both clean-energy diffusion and poverty-reducing income.","SDG 1; SDG 5; SDG 7; SDG 8","Revolving receivables-backed working-capital facility for a pool of clean-energy micro-enterprises.","Phased facility rollout with matched difference-in-differences on enterprise outcomes","Enterprise turnover and stockholding; facility loss rate","Underwriting engine and securitization modelling on trade receivables.","RQ-03; RQ-05","Clean-energy distributor networks; women's enterprise associations","Shell Foundation; Mastercard Foundation","2","2","3","2","3","2.25","Park","PL-1","Idea"
"EXP-09","Climate + Poverty","Field RCT","East Africa / Latin America (coffee belts)","Smallholder coffee growers in producer cooperatives","Smallholder coffee growers organised in producer cooperatives with existing certification and traceability systems","Coffee income collapses on the joint hit of price volatility and climate stress (leaf rust, drought, heat), and pre-harvest credit is repaid at exactly the wrong point in the price cycle.","SDG 1; SDG 2; SDG 13","Pre-harvest credit through the cooperative bundled with a climate trigger and a price floor, so that repayment obligations flex with realised revenue rather than compounding the shock.","Cluster RCT randomising cooperatives, or stepped wedge where a lender will not withhold","Household coffee income through a shock season; loan completion rate at cooperative level","RT-1 schema maps onto existing certification records; RT-3 monitors both climate triggers and price; RT-5 pools cooperative receivables that a lender already finances.","RQ-02; RQ-08; RQ-27","Producer cooperative federations; agricultural value-chain lenders; certification bodies","IDRC; IKEA Foundation; 3ie","4","3","4","3","4","3.60","Strong","PL-1; LC-24; OQ-16; M-33","Idea"
"EXP-10","Climate + Poverty","Field RCT","East Africa / Central America","Smallholder coffee growers exposed to leaf rust and heat stress","Coffee-growing households in cooperatives in rust-prone and heat-stressed altitudes","Coffee leaf rust and heat stress destroy multi-year plantings, and the loss is a slow-onset event that conventional indemnity cover prices badly and index cover has rarely been built for.","SDG 1; SDG 2; SDG 13","A climate index calibrated to rust and heat-stress conditions rather than rainfall alone, bundled with replanting credit so a payout funds recovery rather than consumption.","Cluster RCT on cover access, with index performance validated against observed loss","Plantation survival and replanting rate after a rust or heat event; basis-risk rate of the index","Index design and trigger monitoring; schema captures altitude, varietal and plot-level agro-climate tags.","RQ-02; RQ-07; RQ-25","Coffee research institutes; producer cooperative federations; parametric underwriters","J-PAL King Climate Action Initiative; IDRC; Green Climate Fund","4","3","4","3","4","3.60","Strong","PL-1; LC-24; OQ-16; M-33","Idea"
