"Parameter","Value","Unit","Notes"
"seed","20260730","integer","Fixed so every run is reproducible. Change it to see sampling variation, not to shop for a better answer."
"n_groups","4000","count","Number of savings groups. Sized so the pool lands in the tens of millions - the warehouse band from LIT-011 and LIT-012. A pool small enough for fixed costs to dominate produces a degenerate model, which is itself the OQ-2 finding."
"loans_per_group_mean","9","count","Poisson mean. Roughly a third to a half of a 20-30 member group borrowing in a given cycle."
"loan_principal_mean","520","USD equivalent","Lognormal mean. Placeholder - not calibrated to any observed distribution."
"loan_principal_sigma","0.55","log sd","Lognormal shape. Produces a right-skewed book, which is what small-ticket lending looks like."
"term_days_mean","150","days","Cycle-bound lending: most loans mature inside one savings cycle."
"term_days_sd","45","days","Dispersion around the mean term."
"charge_rate_pct","10.0","percent flat per cycle","Flat service charge, not declining balance - the convention in most VSLA methodologies."
"annual_default_rate","0.06","proportion","Baseline annual probability of default per loan. PLACEHOLDER - see the calibration note."
"recovery_rate","0.45","proportion","Share of defaulted principal eventually recovered, largely via group joint liability."
"prepay_rate_annual","0.10","proportion","Early repayment. Material for short-tenor assets."
"correlation","0.20","proportion","Pairwise default correlation within a geography. THE parameter that matters most - see the sensitivity note."
"n_geographies","12","count","Distinct regions. Fewer regions means more concentration for a given pool size."
"n_originators","5","count","Multi-originator pooling per LIT-008 and LIT-011."
"senior_pct","0.70","proportion","Senior tranche as a share of the pool."
"mezz_pct","0.15","proportion","Mezzanine tranche."
"junior_pct","0.15","proportion","First-loss / junior tranche. The 10-20% working range comes from LIT-013 and LIT-015."
"senior_coupon_pct","0.07","annual proportion","Senior note coupon."
"mezz_coupon_pct","0.12","annual proportion","Mezzanine coupon."
"servicing_cost_pct","0.03","annual proportion of pool","Servicing. Likely higher per dollar than any comparable deal for community-originated assets."
"fixed_costs_usd","250000","USD","Legal, rating, listing, structuring. The fixed-cost term that actually drives minimum viable pool size (OQ-2)."
"n_simulations","200","count","Monte Carlo paths. Lower than ideal, traded against runtime on a pool of this size in pure Python. Enough for a stable mean; read the p99 as indicative."
