"Scenario","Metric","Value","Unit","Detail","Model_Version","Basis"
"Worst","Deal net margin","-190000.0","USD","on a $20,000,000 pool over 1.5y","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Worst","Deal net margin","-0.95","% of notional","structuring-company margin","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Worst","Break-even pool size","38095238.0","USD","notional at which our net margin = 0","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Worst","Gate: cover costs","fail","bool","venture break-even within 3y","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Worst","Years to break-even","","years","venture-level, incl. $2,000,000/yr overhead","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Worst","Deals to break-even","","deals","cumulative, at 3 deals/yr","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Worst","KPI1 operating margin","-101.48","%","steady-state; target 30.00%","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Worst","KPI2 return on capital-at-risk","-30.44","%","on $4,500,000 strip; target 15.00%","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Worst","Steady-state margin","-1370000.0","USD/yr","on a $90,000,000 book","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Worst","Junior residual return","-21.33","%","binding constraint; hurdle 10.00%","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Worst","Senior+mezz covered","no","bool","does pool spread pay senior+mezz coupons","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Likely","Deal net margin","475000.0","USD","on a $25,000,000 pool over 1.5y","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Likely","Deal net margin","1.9","% of notional","structuring-company margin","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Likely","Break-even pool size","8620690.0","USD","notional at which our net margin = 0","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Likely","Gate: cover costs","pass","bool","venture break-even within 3y","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Likely","Years to break-even","1","years","venture-level, incl. $1,500,000/yr overhead","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Likely","Deals to break-even","4.0","deals","cumulative, at 4 deals/yr","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Likely","KPI1 operating margin","34.47","%","steady-state; target 30.00%","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Likely","KPI2 return on capital-at-risk","15.78","%","on $7,500,000 strip; target 15.00%","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Likely","Steady-state margin","1183333.0","USD/yr","on a $150,000,000 book","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Likely","Junior residual return","8.67","%","binding constraint; hurdle 10.00%","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Likely","Senior+mezz covered","yes","bool","does pool spread pay senior+mezz coupons","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Best","Deal net margin","1240000.0","USD","on a $30,000,000 pool over 1.5y","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Best","Deal net margin","4.13","% of notional","structuring-company margin","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Best","Break-even pool size","3237410.0","USD","notional at which our net margin = 0","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Best","Gate: cover costs","pass","bool","venture break-even within 3y","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Best","Years to break-even","1","years","venture-level, incl. $1,300,000/yr overhead","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Best","Deals to break-even","5.0","deals","cumulative, at 5 deals/yr","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Best","KPI1 operating margin","69.32","%","steady-state; target 30.00%","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Best","KPI2 return on capital-at-risk","44.19","%","on $11,250,000 strip; target 15.00%","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Best","Steady-state margin","4970833.0","USD/yr","on a $225,000,000 book","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Best","Junior residual return","18.11","%","binding constraint; hurdle 10.00%","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
"Best","Senior+mezz covered","yes","bool","does pool spread pay senior+mezz coupons","0.1","SOURCED 5/23 drivers; remainder ASSUMED - not calibrated to field data"
