"Field_ID","Label","Entity","Description","Type","Allowed_Values","Required","Capture","Validation","Privacy","Critical_Path","Why_It_Matters"
"originator_id","Originator ID","originator","Stable identifier for the NGO, MFI, federation or employer network that originated the asset.","string","pattern ORG-[0-9]{4}","required","origination","matches pattern; must exist in originator table","public","yes","Multi-originator pooling is the aggregation strategy (LIT-008, LIT-011). Without a clean originator key you cannot measure originator-level performance dispersion, which is what an investor prices when several originators feed one vehicle."
"originator_type","Originator type","originator","Category of originating institution.","enum","ngo; mfi; savings_group_federation; employer_network; cooperative; bank; other","required","origination","in enum","public","no","Regulatory treatment and true-sale mechanics differ by institution type (LIT-009). Also a control variable when comparing performance across originators."
"originator_country","Country","originator","ISO 3166-1 alpha-2 country of the originating institution.","string","ISO 3166-1 alpha-2","required","origination","valid ISO code","public","yes","Determines which legal checklist applies (LIT-009 six-point test) and whether receivables can be assigned cross-border into the SPV."
"originator_regulated","Regulated entity","originator","Whether the originator is a licensed/supervised financial institution in its jurisdiction.","boolean","true; false","required","origination","boolean","public","no","Bears directly on whether receivables are legally transferable and on the consumer-protection regime that applies (LIT-014)."
"group_id","Group ID","group","Pseudonymous identifier for the savings group or originating unit. Never the group's real name.","string","pattern GRP-[0-9]{6}","required","origination","matches pattern; unique","private","yes","The join key for the whole schema. Pseudonymous by construction so the analysis and pooling layer never touches identifying data (CLAUDE.md 8)."
"group_originator_id","Originator","group","Which originator supports this group.","string","FK originator.originator_id","required","origination","referential integrity","public","yes","Concentration by originator is a pool-level risk an investor will ask about before anything else."
"group_formation_date","Formation date","group","Date the group first formed, not the date it entered our programme.","date","ISO 8601 date","required","origination","not in future; >= 1990-01-01","private","yes","Group age is the strongest cheaply-observable proxy for governance maturity. Cannot be reconstructed once the founding members have turned over."
"group_cycle_number","Cycle number","group","Which savings cycle the group is in at the point of origination. First cycle = 1.","integer","1..50","required","origination","1 <= x <= 50","private","yes","A group in cycle 5 has survived four share-outs. Cycle count is the single best available track-record signal before we have repayment history of our own."
"group_cycle_length_months","Cycle length (months)","group","Length of the savings cycle before share-out.","integer","6..24","required","origination","6 <= x <= 24","private","yes","Share-out is a hard liquidity event that empties the box. Any loan maturing after share-out has a structurally different risk profile, and the model cannot infer this later."
"group_member_count","Members at origination","group","Number of active members when the loan was originated.","integer","5..40","required","origination","5 <= x <= 40","private","yes","Denominator for joint-liability capacity. A five-member group guaranteeing a large loan is a different asset from a thirty-member group doing the same."
