"ID","Tier","Parent","Question","Short_Form","Discipline_Frame","Advisor_Profile","Method_Implied","Fits_Programs","Component_Refs","Experiment_Refs","Evidence_Refs","Status"
"RQ-01","Core","","Can the credit and insurance cash flows originated by community financial structures be made investor-legible - standardised, verifiable, poolable - without degrading the social mechanisms that make them perform, and what does that trade-off cost in risk terms and in welfare terms?","Can community finance be made investor-legible without breaking what makes it work?","Development finance / empirical finance","Any - this is the institution-neutral phrasing every strand narrows from","Field experiment plus credit-risk modelling plus structuring simulation","All","LC-01; LC-02; LC-07; LC-09","EXP-12; EXP-13; EXP-22","LIT-020; LIT-021; LIT-022; LIT-023; LIT-011","Active"
"RQ-02","Strand","RQ-01","What is the causal effect of bundling climate or health cover into community-originated credit on household resilience outcomes and on the stability of the resulting repayment stream?","Does bundling cover into group credit improve resilience and repayment stability?","Development economics / impact evaluation","RCT and field-experiment labs; microinsurance and rural finance economists","Cluster-randomised trial with pre-registration; stepped wedge as fallback","PHD-15; PHD-22; PHD-27; PHD-21; PHD-44; PHD-48; PHD-52; PHD-51; PHD-30","LC-03; LC-04; LC-05; LC-13; LC-26","EXP-01; EXP-06; EXP-09; EXP-17; EXP-18; EXP-19; EXP-20","LIT-001; LIT-002; LIT-003; LIT-007","Active"
"RQ-03","Strand","RQ-01","Are community-originated loan and claims cash flows stable and well-characterised enough to be modelled with standard credit-risk and actuarial techniques, and what correlation structure and credit enhancement would an investment-grade pool require?","Can these cash flows be modelled and enhanced to investment grade?","Empirical finance / actuarial science / credit risk","Structured-finance, actuarial and quantitative-finance faculty","Survival and hazard modelling, loss-given-default estimation, Monte Carlo waterfall simulation","PHD-10; PHD-18; PHD-17; PHD-07; PHD-31; PHD-25; PHD-12","LC-07; LC-08; LC-09; LC-11; LC-20","EXP-25; EXP-26; EXP-27; EXP-28","LIT-004; LIT-006; LIT-011; LIT-016","Active"
"RQ-04","Strand","RQ-01","Which mechanism actually drives repayment in community-originated lending - local information, social sanction, or repeated interaction - and which of those survives when external wholesale capital replaces the community's own money as the funding source?","What drives repayment, and does it survive external capital?","Contract theory / behavioural and institutional economics","Microfinance mechanism scholars; contract theorists; lab-in-field experimentalists","Lab-in-field experiments plus randomised variation in funding source and liability structure","PHD-20; PHD-52; PHD-41; PHD-24; PHD-48; PHD-22","LC-02; LC-18; LC-01","EXP-12; EXP-13; EXP-14; EXP-15","LIT-020; LIT-021; LIT-022; LIT-023","Active"
"RQ-05","Strand","RQ-01","Under what conditions does blended credit enhancement actually mobilise private capital into pools of community-originated assets rather than substituting for it, and how is the resulting surplus distributed between investors, intermediaries and originating households?","When does first-loss capital mobilise rather than substitute, and who captures the gain?","Development finance / political economy of capital","Development-finance and sustainable-finance scholars; DFI-linked researchers","Deal-level panel analysis, structured elicitation with investors, incidence modelling","PHD-13; PHD-14; PHD-23; PHD-26; PHD-04; PHD-29","LC-12; LC-11; LC-18; LC-20","EXP-23; EXP-24; EXP-27","LIT-005; LIT-012; LIT-013; LIT-015; LIT-018; LIT-019","Active"
"RQ-06","Strand","RQ-01","What is the minimum origination data architecture that makes a community loan or policy book poolable, and what is the marginal operational cost of each additional increment of investability?","What data must be captured at origination, and what does it cost?","Information systems / design science / applied microeconomics","Data-and-decision-science faculty; financial-inclusion technology researchers","Design-science build plus randomised protocol comparison and activity-based costing","PHD-12; PHD-14; PHD-30; PHD-38; PHD-26","LC-09; LC-14; LC-20; LC-25","EXP-21; EXP-22; EXP-11","LIT-009; LIT-010; LIT-011; LIT-014","Active"
"RQ-07","Strand","RQ-01","Does geographic and peril diversification of household-level climate exposures reduce basis risk and capital requirements enough to make adaptation finance viable at household scale, and where are the limits of that diversification?","Can pooling household climate risk make adaptation finance work at household scale?","Climate and sustainable finance","Sustainable-finance centres; climate-risk and adaptation-finance researchers","Spatial correlation analysis of index triggers plus capital-requirement simulation","PHD-04; PHD-05; PHD-13; PHD-33; PHD-32","LC-03; LC-06; LC-08","EXP-06; EXP-30; EXP-27","LIT-007; LIT-008; LIT-015","Active"
"RQ-08","Strand","RQ-01","How far does a product design and its calibrated risk model travel across institutional forms - savings group, rotating credit association, agricultural cooperative - and across geographies, and which parameters must be re-estimated at each move?","What transfers across institutional forms and sites, and what must be re-estimated?","Development studies / external validity and replication","Development-studies and replication-focused researchers; comparative institutional economists","Multi-site replication with a common protocol; hierarchical and Bayesian pooling of effects","PHD-14; PHD-26; PHD-27; PHD-16; PHD-23","LC-01; LC-24; LC-26; LC-08","EXP-09; EXP-29; EXP-28","LIT-002; LIT-003; LIT-023","Active"
"RQ-09","Sub","RQ-02","Does automatic cover financed into loan principal produce different resilience and repayment effects than opt-in cover at the same actuarial price, and how much of any difference is take-up rather than protection?","Automatic versus opt-in cover: protection effect or take-up effect?","","","Cluster RCT with a price-equalised opt-in arm","","LC-03; LC-04","EXP-01; EXP-17","","Active"
"RQ-10","Sub","RQ-02","Are the resilience gains from bundling concentrated in the tail - households actually hit by a shock - and is a design powered for mean effects powered for the effect that matters?","Are the gains in the tail, and are we powered for them?","","","Tail-powered cluster RCT with shock-conditional pre-specified subgroups","","LC-05; LC-26","EXP-01; EXP-06","","Active"
