"ID","University","Department_Program","Country","City","Region","URL","Format","Funding_Summary","Key_Supervisors","Advantages","Disadvantages","Venture_Pilot_Fit","Tier","Verification_Status","Fit_Notes","Tuition","Scholarships_Grants","TA_RA_Opportunities","Net_Earnings_Estimate"
"PHD-01","Hebrew University of Jerusalem","Bogen International Graduate Program, Dept of Economics (direct PhD)","Israel","Jerusalem","Israel","https://en.economics.huji.ac.il/bogen-internation-graduate-program","Full-time only, 5 yrs (2 coursework + 3 research). English-taught.","Merit scholarships + travel/visit support; tuition normally waived. Stipend figure not published. Competitive.","Victor Lavy (development/education econ, field + quasi-experimental methods)","Best-in-class impact-evaluation training in exactly his methods; direct-from-BA entry possible; same ecosystem as HUJI Business School finance + Milken Innovation Center.","Pure economics: no securitization/tranching expertise in-house; full-time only, coursework-heavy; GRE required.","Low-moderate: no part-time path; Israel pilot on the doorstep but full-time academic culture.","2","Supervisor verified (method fit); finance side needs co-advisor","Local pilot access; strongest methods training in Israel but least venture-friendly and light on finance-structuring.","","","",""
"PHD-02","Tel Aviv University","Coller School of Management, Doctoral Program (Finance)","Israel","Tel Aviv","Israel","https://en-coller.tau.ac.il/the-programs/degree/doctoral","Full-time research model, up to 5 yrs; English available (TAU International).","TAU PhD stipends for full-time students (progress-contingent); tuition normally waived. Coller-specific figure unverified.","Danny Ben-Shahar (housing/household finance, mortgage + credit markets); Sivan Frenkel (contracts, information econ, financial regulation)","Top Israeli management school; deep finance bench for pricing/tranching/securitization mechanics; Ben-Shahar anchors the lending-analytics layer; Tel Aviv = centre of migrant-worker population.","No published development-finance/microfinance/impact-eval specialist (needs econ co-advisor from Berglas); GMAT-quant or psychometric required; thesis master's expected; venture tolerance undocumented.","Moderate: excellent Tel Aviv pilot proximity; finance-academic culture less obviously venture-flexible.","2","Supervisor verified (finance); pair with Berglas econ","Sustainability + finance interdisciplinary. Excellent for the finance-engineering half; needs an economics co-advisor for impact evaluation.","","","",""
"PHD-03","Ben-Gurion University of the Negev","Dept of Public Policy & Management / Dept of Economics","Israel","Beer Sheva","Israel","https://www.bgu.ac.il/en/u/faculties/business-and-management/departments/public-policy-and-management/about/","Research (thesis) PhD track; format/language not fully published. Likely more Hebrew-centric.","Standard Israeli PhD funding/fellowships; lower cost of living. Figures unverified.","Ofer Azar (behavioral economics) - not development finance; policy supervisors To identify","Policy framing; potentially strong funding vs cost of living; social-policy specialization aligns with the development-impact angle.","No verified microfinance/securitization/impact-eval supervisor; likely more Hebrew; farther from the central-Israel migrant-worker pilot.","Uncertain: part-time unverified; geographically less convenient for a central-Israel pilot.","3","Supervisor to verify - contact department first","Development and behavioral economics. Plausible policy home but unproven supervisor fit; pursue only after confirming an advisor.","","","",""
"PHD-10","Hebrew University of Jerusalem","Jerusalem School of Business Administration, PhD (Finance / Risk)","Israel","Jerusalem","Israel","https://bschool-en.huji.ac.il/phd","Full-time, phased (~2+2+2.5 yrs); flexible supervisor-built curriculum (only ~12 mandatory credits). Outside PART-TIME employment explicitly permitted (no full employment).","School + research-foundation scholarships plus TA income (progress/excellence-contingent). Fee coverage not published. Competitive.","Orly Sade (financial inclusion, financial literacy, fintech, household finance); Yishay Yafeh (banking, emerging markets; Milken Innovation Center); Anat Bracha (behavioral econ, poverty; IPA affiliate)","Single best supervisor-and-topic match in Israel; flexible research-led structure; outside part-time work allowed (most venture-tolerant funded route); plugged into Milken blended-finance lab + IPA RCT network.","Effectively requires a master's; stipend size + English-track PhD supervision must be confirmed in writing; cannot combine with full employment.","High (for Israel): flexible structure, outside part-time work permitted, Israel pilot local, practitioner-linked supervisors.","1","Supervisor verified (strong); confirm English track + stipend","NEW route distinct from Bogen. The standout Israeli option on supervisor fit and venture tolerance.","NIS 16,239/yr (2025/26) standard HUJI doctoral tuition (~USD 4,400), same for Israeli and international; normally covered in full by a tuition scholarship for funded students.","PBC 'Rotenstreich' doctoral fellowship ~NIS 80,000/yr (~USD 21,600), up to 3 yrs - but restricted to Israeli citizens/permanent residents. HUJI President's/Honors stipends (~NIS 75,000/yr) and Business School + research-foundation scholarships also exist. (The ~NIS 7,100 then ~NIS 3,100/mo figures circulating are for direct-track science programs, NOT the Business School.)","TA work available as parallel income; the PhD explicitly permits outside part-time (not full-time) employment. TA pay rate not published.","On a PBC/President's-tier fellowship ~NIS 75,000-80,000/yr, largely income-tax-exempt (milga), tuition separately covered = ~NIS 6,300-6,700/mo take-home (~USD 20,000-21,600/yr). Jerusalem: TIGHT on the fellowship alone, comfortable once topped up with the permitted TA/part-time work."
"PHD-11","Tel Aviv University","Eitan Berglas School of Economics (Economics PhD)","Israel","Tel Aviv","Israel","https://en-econ.tau.ac.il/phd/main","Full-time, up to 5 yrs; standard (from MA) or direct (from BA) track; substantial coursework. English info provided.","Full-time PhD stipends for 4 yrs (progress-contingent); tuition normally waived. Competitive.","Analia Schlosser (labor + development econ, immigration; quasi-experimental/field methods; IZA/CEPR)","Rigorous development/applied-micro training; funded; Schlosser a genuine impact-evaluation fit; natural co-advising with Coller finance.","Heavy coursework, full-time, least venture-flexible TAU route; no securitization/finance-structuring in-house.","Low-moderate (full-time, coursework-heavy) but excellent Tel Aviv pilot proximity.","2","Supervisor verified (method fit)","The rigorous impact-evaluation anchor at TAU; pair with Coller finance for the structuring side.","","","",""
"PHD-12","Technion - Israel Institute of Technology","Faculty of Data & Decision Sciences (PhD)","Israel","Haifa","Israel","https://dds.technion.ac.il/tracks/phd-en/phd/","Multiple tracks ~3.5-5 yrs; English track available; supervisor-first admission.","Best-documented funding here: tuition-exempt + monthly scholarship ~NIS 6,000-6,500+/mo, plus excellence awards.","Quantitative finance / operations research / decision-science faculty (structuring, risk, monitoring). Development/impact specialist To identify.","Clear, generous, documented funding; English track; strong quantitative methods for the structuring engine (tranching, first-loss, monitoring ops).","Engineering/quant faculty: no development-econ/microfinance/impact-eval specialist; Haifa-based (farther from central-Israel pilot).","Moderate: strong funding but full-time; venture-parallel tolerance unverified.","3","Program verified; topical supervisor to verify","Best-funded, strongest on quantitative risk/structuring methods; only if he reframes toward the analytics/decision-science core.","","","",""
"PHD-04","University of Oxford","Oxford Sustainable Finance Group, via DPhil Geography & the Environment","UK","Oxford","UK","https://www.ox.ac.uk/admissions/graduate/courses/dphil-geography-and-environment","Direct DPhil (no compulsory MRes), 3-4 yrs full-time; residency-heavy. No standalone Smith School DPhil - OSFG supervises via SoGE.","Clarendon Fund + ESRC Grand Union DTP cover fees+stipend, open to internationals but extremely competitive. No OSFG-specific stipend advertised.","Ben Caldecott (sustainable finance, stranded assets, climate/nature risk) - Director OSFG","World-leading sustainable-finance brand and convening power; strong for the securitizable green/impact-asset framing; Clarendon open to internationals.","DPhil sits in Geography, not finance - structured-finance + RCT-econometrics supervision must be sourced elsewhere; residency clashes with venture; funding fierce; no named community-lending/microinsurance supervisor.","Moderate-low: prestigious and on-theme but full-time residency and a geography base make parallel venture + field RCTs harder.","2","Supervisor verified (theme); topic co-supervisor unconfirmed","High-prestige, high-theme, structurally awkward and funding-competitive; best only if Caldecott/OSFG actively want the topic.","","","",""
"PHD-05","London School of Economics","MRes/PhD Finance (also MRes/PhD International Development)","UK","London","UK","https://www.lse.ac.uk/study-at-lse/graduate/mresphd-finance","2-yr MRes + 3-4-yr PhD, full-time; part-time only in limited circumstances. Finance route GRE/GMAT-gated.","LSE + ESRC (LISS-DTP) + departmental scholarships, open to home + overseas but very competitive.","Deep finance + development-econ + impact-eval benches; specific community-lending/microinsurance supervisor To identify (do not assume).","Best-in-class impact-evaluation + finance-theory methods; the International Development MRes/PhD route is more fieldwork/venture-tolerant while keeping LSE econometrics.","Finance route coursework-heavy, full-time, GRE-gated, not venture-designed; overseas funding scarce; securitization craft not an LSE Finance signature.","Finance route low; International Development route moderate.","2","Supervisor to verify before investing","Deep risk + development finance expertise. The International Development door is the more venture-compatible LSE route.","","","",""
"PHD-06","University of Cambridge","Judge Business School PhD (Finance pathway); CISL is master's-only","UK","Cambridge","UK","https://www.jbs.cam.ac.uk/phd-research-masters/pathways/finance/","9-month MPhil/MRes + 4-yr PhD, full-time, coursework-heavy, residency-based. CISL offers NO PhD.","Strong: Judge guarantees maintenance at research-council rate (approx GBP 20,285 for 2024/25) + fees yrs 1-3; Cambridge Trust/Gates/college awards; shortfall covered.","Finance faculty lean corporate finance/asset pricing/fintech; Elroy Dimson (responsible investing) NOT available as principal supervisor. Topic match weak.","Best UK funding certainty of the shortlist; Cambridge brand; strong finance methods.","Weak named supervisor fit for community-lending securitization; full-time, coursework-heavy, residency-based; CISL cannot host the PhD.","Low.","2","Program verified; supervisor fit is the weak link","Quant finance + sustainability network. Best funding certainty but topical supervision is the risk - pursue only if a Judge finance professor bites.","","","",""
"PHD-09","Loughborough University","Sustainable Development, Economic Growth & Finance PhD (Business School)","UK","Loughborough","UK","https://www.lboro.ac.uk/study/postgraduate/research-degrees/phd-opportunities/sustainable-development-economic-growth/","PhD, 3 yrs FT / 6 yrs PT, October start.","This advertised opportunity is SELF-FUNDED (UK ~GBP 5,238/yr; intl ~GBP 23,100/yr). Separate funded studentships advertised individually. 2026 deadline (31 Jul) has passed - expect reopening.","No named supervisor on listing; theme covers financial inclusion, green finance, climate risk, inclusive growth. Contact To identify.","Explicitly inclusive-finance-friendly theme (closest stated scope to his question); part-time route available; lower-pressure entry than Oxbridge/LSE.","Advertised route self-funded; no named supervisor confirmed; less structured-finance depth than a specialist finance school.","Good: part-time route + applied/inclusive-finance theme.","3","Program verified; supervisor + funding to secure","Financial systems + inclusive growth focus. Flexible and thematically welcoming but likely self-funded unless a separate studentship is landed.","","","",""
